3588	tt0013274	6.8	58
40729	tt0062336	6.4	181
47945	tt0070596	7.7	40
58913	tt0083283	6.7	67
70028	tt0096235	5.8	65
71357	tt0097767	7.0	6
76455	tt0103788	7.4	59
77459	tt0104988	7.8	9
80881	tt0109128	7.2	29
90268	tt0120589	7.1	204
91425	tt0122511	6.2	61
112868	tt0164115	9.0	14
131248	tt0199602	6.5	37
132029	tt0201206	5.4	9
136790	tt0211266	8.4	15
145551	tt0230622	7.8	74
154407	tt0250219	5.2	17
159120	tt0260293	6.9	65
176160	tt0293429	6.1	185269
182974	tt0307183	7.2	6
199405	tt0346172	2.9	186
200198	tt0347992	4.8	25
202938	tt0354964	6.2	105
205628	tt0361130	5.4	9
208954	tt0368133	6.6	8
223407	tt0399402	2.9	238
239967	tt0438755	8.1	40
240376	tt0439572	6.7	180188
241861	tt0443438	5.2	90
243315	tt0446792	7.7	27
253460	tt0473100	5.4	122
263835	tt0499097	5.8	62554
380456	tt0762118	4.0	27
386728	tt0781524	5.8	38
394685	tt0805647	5.4	44540
417233	tt0870154	6.6	205649
422432	tt0887261	6.0	45632
426332	tt0902292	7.3	123
431211	tt0920462	4.7	5061
432613	tt0926132	3.7	666
434231	tt0933054	7.1	8
448136	tt0983946	4.9	56301
450570	tt0993840	5.8	181818
451082	tt0995854	5.9	2609
452142	tt10003008	5.7	36621
452162	tt10003618	6.9	401
452183	tt10003994	7.8	296
452186	tt10004032	6.2	14
452190	tt10004108	4.9	2762
452217	tt10004368	7.0	1379
452221	tt10004456	7.2	170
452317	tt10005622	3.6	138
452402	tt10006160	4.8	387
452657	tt10010852	7.6	6
452672	tt10011002	5.5	171
452698	tt10011228	5.3	2522
452701	tt10011240	8.8	13
452827	tt10013588	7.3	18
452897	tt10014534	6.8	239
452952	tt1001520	6.1	31020
452957	tt10015244	4.8	5644
452999	tt10015802	9.2	7
453013	tt10016152	8.7	39
453015	tt10016180	6.3	118072
453033	tt10016640	7.3	42
453104	tt10019108	5.8	307
453176	tt10021582	2.6	281
453217	tt10022716	5.9	689
453219	tt10022726	6.0	17
453222	tt10022782	6.0	56
453234	tt10022990	5.4	383
453240	tt10023022	5.6	10256
453241	tt10023024	4.7	10202
453247	tt10023150	5.3	665
453249	tt10023172	5.5	934
453260	tt10023274	7.6	32
453263	tt10023286	6.1	9985
453499	tt10026772	9.1	9
453558	tt10027720	4.8	53
453611	tt10028196	5.6	176800
453684	tt10028812	6.9	184
453779	tt10030150	5.1	29
453909	tt10032266	6.7	677
453916	tt10032342	7.7	933
453940	tt10032574	6.4	780
454012	tt10033964	5.2	20
454091	tt10035194	5.4	249
454176	tt10037014	5.9	9198
